Arquivo@Número da Linha@Caso@Diretiva OpenMP@Linha Seguinte
./315333330/parser.c@22385@ATOMIC@"""invalid form of %<#pragma omp atomic%>"");"@goto saw_error;
./315333330/parser.c@22411@ATOMIC@"""invalid form of %<#pragma omp atomic%>"");"@goto saw_error;
./315333330/c-parser.c@11541@ATOMIC@"""invalid operator for %<#pragma omp atomic%>"");"@goto saw_error;
./315333330/parser.c@22442@ATOMIC@"""invalid operator for %<#pragma omp atomic%>"");"@goto saw_error;
./315333330/parser.c@22457@ATOMIC@"""invalid operator for %<#pragma omp atomic%>"");"@goto saw_error;
./14230612/gdal_sebs_eta.c@176@ATOMIC@#pragma omp atomic@n+=1;
./14230612/gdal_sebs_eta.c@178@ATOMIC@#pragma omp atomic@e_sat_sum+=e_sat(mat1[rowcol]*0.02,mat2[rowcol]);
./77235735/nqueens.c@296@ATOMIC@#pragma omp atomic@total_count += mycount;
./77235735/floorplan.c@159@ATOMIC@#pragma omp atomic@nn2 += add_cell_ser(cells[id].next, footprint, board,cells);
./77235735/floorplan.c@211@ATOMIC@#pragma omp atomic@nnc += add_cell(cells[id].next, footprint, board,cells,level+1);
./77235735/floorplan.c@269@ATOMIC@#pragma omp atomic@nnc += add_cell(cells[id].next, footprint, board,cells,level+1);
./77235735/floorplan.c@323@ATOMIC@#pragma omp atomic@nnc += add_cell(cells[id].next, footprint, board,cells,level+1);
./77235735/floorplan.c@326@ATOMIC@#pragma omp atomic@nnc += add_cell_ser(cells[id].next, footprint, board,cells);
./77235735/floorplan.c@379@ATOMIC@#pragma omp atomic@nnc += add_cell(cells[id].next, footprint, board,cells);
./139749751/OMP_char.c@42@ATOMIC@#pragma omp atomic@"diffs[i][j]++;
}
}
}
}
#pragma omp atomic
totalDiff += threadDiff;
}
gettimeofday(&finish, NULL);
free(diffs);"
./139749751/OMP_char.c@48@ATOMIC@#pragma omp atomic@"totalDiff += threadDiff;
}
gettimeofday(&finish, NULL);
free(diffs);
free(StringsA);
free(StringsB);
totalTime =
(double)(finish.tv_usec - start.tv_usec) / 1000.0L +
(double)(finish.tv_sec - start.tv_sec) * 1000.0L;
printf(""Total time: %f ms\n"", totalTime);"
./139749751/OMP_line.c@45@ATOMIC@#pragma omp atomic@"totalDiff += threadDiff;
}
gettimeofday(&finish, NULL);
free(diffs);
free(StringsA);
free(StringsB);
totalTime =
(double)(finish.tv_usec - start.tv_usec) / 1000.0L +
(double)(finish.tv_sec - start.tv_sec) * 1000.0L;
printf(""Total time: %f ms\n"", totalTime);"
./139749751/OMP_string.c@45@ATOMIC@#pragma omp atomic@"totalDiff += threadDiff;
}
gettimeofday(&finish, NULL);
free(diffs);
free(StringsA);
free(StringsB);
totalTime =
(double)(finish.tv_usec - start.tv_usec) / 1000.0L +
(double)(finish.tv_sec - start.tv_sec) * 1000.0L;
printf(""Total time: %f ms\n"", totalTime);"
./57456409/JacobiAsync.cpp@115@ATOMIC@#pragma omp atomic@processPointer++;
./457797436/Q1_openmp.cpp@32@ATOMIC@#pragma omp atomic@"diff += local_diff;
#pragma omp barrier
iters++;
if ((diff/(n*n) < TOL) || (iters == ITER_LIMIT)) done = 1;
#pragma omp barrier
}
printf(""[%d] diff = %.10f\n"", iters, diff/(n*n));
}
int main (int argc, char **argv)
{"
./610749801/parallel2.c@26@ATOMIC@#pragma omp atomic@f[i].x += mag * dir.x / dist;
./610749801/parallel2.c@28@ATOMIC@#pragma omp atomic@f[i].y += mag * dir.y / dist;
./610749801/parallel2.c@30@ATOMIC@#pragma omp atomic@f[i].z += mag * dir.z / dist;
./610749801/parallel2.c@32@ATOMIC@#pragma omp atomic@f[j].x -= mag * dir.x / dist;
./610749801/parallel2.c@34@ATOMIC@#pragma omp atomic@f[j].y -= mag * dir.y / dist;
./610749801/parallel2.c@36@ATOMIC@#pragma omp atomic@f[j].z -= mag * dir.z / dist;
./202611037/Exemplo10(atomic).c@29@ATOMIC@#pragma omp atomic@degree[edge[j].vertex1]++;
./202611037/Exemplo10(atomic).c@31@ATOMIC@#pragma omp atomic@degree[edge[j].vertex2]++;
./596527964/openmp_slae_2.c@49@ATOMIC@#pragma omp atomic@accuracy += calc_norm_square(Axb + line_offsets[thread_id], line_counts[thread_id]);
./124247514/if-clauseModificado.c@29@ATOMIC@#pragma omp atomic@suma += sumalocal;
./253940516/omp_atomic_exemple.c@15@ATOMIC@#pragma omp atomic@contador++;
./438068728/h5_problem2.c@114@ATOMIC@#pragma omp atomic@producer_done++;
./430289473/omp_version.c@106@ATOMIC@#pragma omp atomic@triangles_vector[i] /= 2;
./163540180/fig4.62-atomic-func.c@24@ATOMIC@#pragma omp atomic@ic += bigfunc(TID);
./163540180/fig4.61-atomic.c@22@ATOMIC@#pragma omp atomic@ic += 1;
./93849114/pi_omp_atomic.c@32@ATOMIC@#pragma omp atomic@sum += 4.0/(1.0+x*x);
./93849114/pi-v15.c@31@ATOMIC@#pragma omp atomic@sum += 4.0/(1.0+x*x);
./93849114/pi-v15.c@41@ATOMIC@#pragma omp atomic@sum += 4.0/(1.0+x*x);
